,unique_id,ds,Naive,Naive-lo-70,Naive-lo-80,Naive-lo-90,Naive-hi-70,Naive-hi-80,Naive-hi-90,SeasonalNaive,SeasonalNaive-lo-70,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-hi-70,SeasonalNaive-hi-80,SeasonalNaive-hi-90,WindowAverage,WindowAverage-lo-90,WindowAverage-lo-80,WindowAverage-lo-70,WindowAverage-hi-70,WindowAverage-hi-80,WindowAverage-hi-90,SeasWA,SeasWA-lo-90,SeasWA-lo-80,SeasWA-lo-70,SeasWA-hi-70,SeasWA-hi-80,SeasWA-hi-90,AutoARIMA,AutoARIMA-lo-90,AutoARIMA-lo-80,AutoARIMA-lo-70,AutoARIMA-hi-70,AutoARIMA-hi-80,AutoARIMA-hi-90,y
41,IBOVESPA,2023-11-10,116565.0,106865.48,104571.53,101171.55,126264.52,128558.47,131958.45,116883.0,104090.61,101065.19,96581.055,129675.39,132700.81,137184.94,117226.88,104701.15,106727.3,108800.29,125653.48,127726.47,129752.62,111520.42,103060.65,103446.29,103895.89,119144.95,119594.555,119980.195,116473.0,102565.12,105636.984,107709.555,125236.45,127309.02,130380.89,120636.0
42,IBOVESPA,2023-11-11,116565.0,106750.69,104429.586,100989.37,126379.31,128700.414,132140.62,117968.0,105175.61,102150.19,97666.055,130760.39,133785.81,138269.94,117226.88,105392.9,107350.8,109401.836,125051.93,127102.97,129060.87,111226.01,103802.16,104169.31,104496.87,117955.15,118282.7,118649.86,116473.0,102401.38,105509.41,107606.375,125339.625,127436.6,130544.625,120636.0
43,IBOVESPA,2023-11-12,116565.0,106637.23,104289.29,100809.3,126492.77,128840.71,132320.7,118176.0,105383.61,102358.19,97874.055,130968.39,133993.81,138477.94,117226.88,104156.2,106330.4,108598.19,125855.58,128123.37,130297.56,110608.43,102352.6,102723.2,103064.11,118152.75,118493.66,118864.26,116473.0,102239.52,105383.305,107504.39,125441.62,127562.7,130706.484,120636.0
44,IBOVESPA,2023-11-13,116565.0,106525.04,104150.58,100631.26,126604.96,128979.42,132498.73,119392.0,106599.61,103574.19,99090.055,132184.39,135209.81,139693.94,117226.88,104599.3,107216.6,109740.086,124713.68,127237.164,129854.47,111526.86,102569.9,103157.805,103745.766,119307.95,119895.914,120483.82,116473.0,102079.49,105258.62,107403.555,125542.45,127687.39,130866.516,120376.0
45,IBOVESPA,2023-11-14,116565.0,106414.1,104013.4,100455.195,126715.9,129116.6,132674.81,118758.0,105965.61,102940.19,98456.055,131550.39,134575.81,139059.94,117226.88,104826.1,107670.2,110387.39,124066.375,126783.56,129627.664,111845.14,103014.6,104047.195,104959.234,118731.05,119643.086,120675.68,116473.0,101921.22,105135.3,107303.82,125642.18,127810.71,131024.79,123328.0
46,IBOVESPA,2023-11-15,116565.0,106304.36,103877.7,100281.02,126825.64,129252.3,132848.97,118758.0,105965.61,102940.19,98456.055,131550.39,134575.81,139059.94,117226.88,104360.7,107798.4,110992.54,123461.23,126655.37,130093.06,111727.0,102243.55,103564.1,104741.85,118712.15,119889.9,121210.45,116473.0,101764.64,105013.305,107205.164,125740.84,127932.7,131181.36,123328.0
47,IBOVESPA,2023-11-16,116565.0,106195.77,103743.44,100108.7,126934.23,129386.56,133021.3,118758.0,105965.61,102940.19,98456.055,131550.39,134575.81,139059.94,117226.88,104409.45,107820.9,110992.54,123461.23,126632.87,130044.31,112024.57,102500.6,104003.195,105351.44,118697.7,120045.945,121548.54,116473.0,101609.72,104892.6,107107.55,125838.46,128053.41,131336.28,124576.0
48,IBOVESPA,2023-11-17,116565.0,106088.32,103610.57,99938.17,127041.68,129519.43,133191.83,118288.0,105495.61,102470.19,97986.055,131080.39,134105.81,138589.94,117226.88,103904.4,107587.8,111016.04,123437.73,126865.97,130549.37,111484.43,101781.95,103342.9,104691.11,118277.75,119625.96,121186.91,116473.0,101456.4,104773.14,107010.94,125935.07,128172.87,131489.61,125062.0
49,IBOVESPA,2023-11-18,116565.0,105981.95,103479.05,99769.37,127148.05,129650.95,133360.64,117846.0,105053.61,102028.19,97544.055,130638.39,133663.81,138147.94,117226.88,102226.45,106526.9,110414.19,124039.58,127926.87,132227.31,111271.71,99466.15,101006.3,102444.97,120098.45,121537.125,123077.27,116473.0,101304.62,104654.89,106915.305,126030.7,128291.12,131641.39,125062.0
50,IBOVESPA,2023-11-19,116565.0,105876.65,103348.836,99602.24,127253.35,129781.164,133527.77,118695.0,105902.61,102877.19,98393.055,131487.39,134512.81,138996.94,117226.88,102714.0,106599.0,110144.39,124309.375,127854.766,131739.77,111846.58,100455.51,102082.01,103552.26,120140.9,121611.15,123237.65,116473.0,101154.35,104537.81,106820.62,126125.39,128408.195,131791.66,125062.0
51,IBOVESPA,2023-11-20,116565.0,105772.37,103219.9,99436.74,127357.63,129910.1,133693.25,116145.0,103352.61,100327.19,95843.055,128937.39,131962.81,136446.94,117226.88,102318.85,105808.7,109071.836,125381.93,128645.06,132134.92,110730.0,99673.9,100518.8,101446.6,120013.4,120941.2,121786.1,116473.0,101005.54,104421.87,106726.85,126219.16,128524.14,131940.47,126095.0
52,IBOVESPA,2023-11-21,116565.0,105669.086,103092.19,99272.836,127460.914,130037.81,133857.17,116009.0,103216.61,100191.19,95707.055,128801.39,131826.81,136310.94,117226.88,102757.75,106686.5,110206.89,124246.875,127767.266,131696.02,111111.71,99547.34,100265.695,101148.07,121075.35,121957.73,122676.08,116473.0,100858.15,104307.03,106633.98,126312.03,128638.98,132087.86,125607.0
53,IBOVESPA,2023-11-22,116565.0,105566.78,102965.68,99110.46,127563.22,130164.32,134019.53,116009.0,103216.61,100191.19,95707.055,128801.39,131826.81,136310.94,117226.88,103602.6,107535.2,110982.984,123470.78,126918.56,130851.164,111447.13,100095.695,100521.38,101186.22,121708.05,122372.88,122798.57,116473.0,100712.13,104193.266,106541.97,126404.04,128752.74,132233.88,126035.0
54,IBOVESPA,2023-11-23,116565.0,105465.41,102840.336,98949.586,127664.59,130289.664,134180.4,116009.0,103216.61,100191.19,95707.055,128801.39,131826.81,136310.94,117226.88,104587.35,107989.7,110955.39,123498.375,126464.06,129866.414,111372.56,100535.08,100885.04,101462.555,121282.57,121860.086,122210.05,116473.0,100567.45,104080.55,106450.81,126495.195,128865.46,132378.55,126576.0
55,IBOVESPA,2023-11-24,116565.0,105364.96,102716.13,98790.17,127765.04,130413.87,134339.83,115925.0,103132.61,100107.19,95623.055,128717.39,131742.81,136226.94,117226.88,104982.55,108172.1,111083.89,123369.875,126281.664,129471.22,111723.28,102375.25,102957.49,103659.81,119786.75,120489.07,121071.31,116473.0,100424.086,103968.84,106360.47,126585.54,128977.164,132521.92,125542.0
56,IBOVESPA,2023-11-25,116565.0,105265.4,102593.03,98632.164,127864.6,130536.97,134497.83,114193.0,101400.61,98375.19,93891.055,126985.39,130010.81,134494.94,117226.88,106030.0,108347.0,110526.0,123927.766,126106.766,128423.766,111921.58,103676.055,103695.945,104009.86,119833.3,120147.21,120167.1,116473.0,100281.984,103858.125,106270.93,126675.07,129087.88,132664.02,125542.0
57,IBOVESPA,2023-11-26,116565.0,105166.71,102471.0,98475.55,127963.29,130659.0,134654.45,114327.0,101534.61,98509.19,94025.055,127119.39,130144.81,134628.94,117226.88,104361.75,106841.5,109231.984,125221.78,127612.266,130092.016,111173.42,101979.24,102076.49,102452.84,119894.0,120270.35,120367.6,116473.0,100141.12,103748.375,106182.17,126763.836,129197.63,132804.89,125542.0
58,IBOVESPA,2023-11-27,116565.0,105068.875,102350.016,98320.266,128061.125,130779.984,134809.73,115731.0,102938.61,99913.19,95429.055,128523.39,131548.81,136032.94,117226.88,104140.55,106399.1,108631.586,125822.18,128054.664,130313.22,112532.14,102930.35,103978.695,105050.164,120014.12,121085.586,122133.93,116473.0,100001.46,103639.56,106094.17,126851.836,129306.445,132944.55,125683.0
59,IBOVESPA,2023-11-28,116565.0,104971.86,102230.06,98166.305,128158.14,130899.94,134963.7,116565.0,103772.61,100747.19,96263.055,129357.39,132382.81,136866.94,117226.88,104921.05,107960.1,110662.29,123791.48,126493.664,129532.72,113058.85,102684.445,103486.89,104443.6,121674.1,122630.81,123433.26,116473.0,99862.98,103531.664,106006.914,126939.09,129414.34,133083.03,126538.0
